RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Jeremy Lamb,Ind,G-F,27.69,40,28.7,59.8,19.6,8.8,91,0.857,287,0.512,139,0.324,0.504,0.544,12.7,4.4,8.5,2.1,10.4,1.2,0.5,1.13,6.8,107.1,103.6
,Romeo Langford,Bos,G-F,20.28,15,9.7,20.2,11,13.4,10,0.8,18,0.667,10,0.2,0.536,0.586,2.5,0.9,4.8,0.2,2.7,0.2,0.2,0.33,3.2,111.2,106.2
,Zach LaVine,Chi,G-F,24.91,52,34.4,71.8,31.3,12.5,296,0.828,607,0.486,410,0.376,0.517,0.565,24.9,4.9,7.7,4.1,21.5,1.38,0.44,3.15,9.2,107,107
,Vic Law,Orl,F,24.13,2,1.9,3.9,22.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Jake Layman,Min,F,25.92,14,26.4,54.9,17.3,11.7,10,0.6,78,0.538,54,0.352,0.534,0.539,10.5,2.9,5.8,0.8,4.6,0.86,0.64,1.29,4.4,99.1,107.9
,TJ Leaf,Ind,F,22.77,22,8.2,17,18.7,7.9,10,0.6,52,0.442,14,0.357,0.462,0.476,3,2.7,18.2,0.3,4.7,0.32,0.14,0.27,6.6,103.3,99.2
,Jalen Lecque,Pho,G,19.65,3,7.2,15,17.4,11.3,2,1,4,0.75,3,0,0.429,0.508,2.7,0,0,0.3,6.5,0,0,0.33,0,96.5,110.3
,Courtney Lee,Dal,G,34.34,11,8.4,17.5,13.4,6.9,0,0,12,0.583,15,0.6,0.759,0.759,3.7,0.5,3.4,0.4,6.3,0,0.18,0.18,4.3,138.8,109.8
,Damion Lee,Gol,G-F,27.29,36,28,58.2,18.9,10.7,95,0.874,215,0.451,142,0.345,0.478,0.532,11.8,5,9.6,2.5,13.8,0.89,0.08,1.33,7.5,105.6,107.7
,Alex Len,Atl,C,26.64,40,18.6,38.8,18.7,11.9,81,0.63,205,0.624,56,0.25,0.571,0.588,8.7,5.8,16.7,1.1,8.8,0.5,0.83,1,8.2,114.1,103.1
,Kawhi Leonard,Lac,F,28.61,39,32.1,66.8,33.8,11.7,265,0.891,569,0.499,219,0.374,0.516,0.58,26.9,7.5,12,5.3,29,1.9,0.67,3.08,12.7,114.2,101
,Meyers Leonard,Mia,C,27.94,49,20.1,42,12,13,26,0.654,104,0.625,119,0.429,0.635,0.64,6.1,5,13.9,1.1,7.7,0.27,0.31,0.71,6.4,117.1,99.5
,Caris LeVert,Bro,G,25.45,25,26.4,55,27.9,14.1,89,0.685,246,0.398,94,0.362,0.438,0.473,14.4,3.6,6.9,3.6,21.5,0.76,0.12,2.48,8.7,94,105.8
,Damian Lillard,Por,G,29.56,49,37,77.1,30.4,10.5,387,0.889,503,0.527,490,0.394,0.558,0.625,29.7,4.3,6,7.9,35.2,1,0.31,2.8,10.8,126.1,113.9
,Nassir Little,Por,F-G,19.98,39,12.7,26.5,13.7,9.4,39,0.667,77,0.545,51,0.255,0.48,0.513,3.8,2.5,10.3,0.5,4.8,0.26,0.38,0.38,5.3,108.1,104.3
,Kevon Looney,Gol,F,24,13,11.1,23.2,16,11,8,0.75,41,0.39,4,0.25,0.389,0.423,3.2,3.2,15.5,0.8,10.2,0.46,0.31,0.46,7.3,101,102.2
,Brook Lopez,Mil,C,31.85,48,26.6,55.5,16.5,8.6,73,0.863,209,0.569,227,0.282,0.493,0.527,10.3,4.6,8.4,1.6,7.8,0.71,2.6,0.92,6.4,105.7,97.3
,Robin Lopez,Mil,C,31.85,46,14,29.2,16.6,15.4,41,0.537,137,0.628,65,0.277,0.559,0.564,5.4,2.7,9.4,0.7,6.4,0.15,0.7,0.87,6.2,104.7,98.7
,Kevin Love,Cle,F,31.41,45,31.4,65.4,23.6,14.6,168,0.851,286,0.538,306,0.382,0.557,0.602,17.8,9.8,17.3,3,15.1,0.6,0.33,2.53,10.3,111.7,110.2
,Kyle Lowry,Tor,G,33.87,40,36.6,76.3,23,14.2,233,0.858,247,0.506,325,0.348,0.515,0.585,19.7,4.6,6.6,7.3,29.5,1.25,0.4,2.8,9.5,116.7,101.2
,Timothe Luwawu-Cabarrot,Bro,G-F,24.75,25,15.3,31.9,14,14.8,30,0.767,45,0.467,51,0.431,0.563,0.6,5.2,2.1,7,0.6,5.1,0.44,0.04,0.76,4.9,108,100.4
,Trey Lyles,San,F,24.25,50,17.6,36.8,13.2,10.7,28,0.643,113,0.487,116,0.336,0.496,0.508,4.9,5.6,16.8,1.1,7.9,0.28,0.34,0.58,7.1,107.8,105.8
,Daryl Macon,Mia,G,24.19,4,3.5,7.3,15.7,40,0,0,1,0,2,0.5,0.5,0.5,0.8,0,0,0.3,9.6,0,0,0.5,0,,
,Josh Magette,Orl,G,30.19,8,4.7,9.9,24,23.9,2,0.5,11,0.364,4,0.25,0.367,0.378,1.5,0.8,8.4,0.6,20,0.38,0.13,0.63,7.6,70.9,97
,Ian Mahinmi,Was,C,33.25,29,22,45.8,16.1,16.6,88,0.636,145,0.545,22,0.227,0.518,0.557,7.9,6.1,15.1,1.4,8.6,0.79,1.34,1.41,7.4,109.8,104.4
,Thon Maker,Det,F-C,22.95,48,11.4,23.8,14.8,16.5,88,0.67,79,0.582,39,0.308,0.542,0.597,3.9,2.4,11.7,0.6,6.8,0.35,0.54,0.65,6.2,112.6,101.2
,Terance Mann,Lac,G-F,23.3,30,8.1,16.8,11.6,20.5,12,0.75,38,0.5,11,0.182,0.449,0.488,1.8,1,6.1,1.1,17,0.2,0.17,0.47,6.2,99.7,98.6
