Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
368,Bruno Caboclo,MEM,1845301,,,,,,,1845301
433,Bruno Fernando,ATL,1400000,1517981,1782621,,,,,4700602
275,Bryn Forbes,SAS,2875000,,,,,,Early Bird Rights,2875000
202,Buddy Hield,SAC,4861208,24431818,22477273,20522727,18568182,,1st Round pick,90861208
140,C.J. Miles,WAS,8730158,,,,,,,8730158
485,C.J. Watson,ORL,333333,,,,,,,333333
461,Caleb Martin,CHO,898310,1517981,1782621,,,,Minimum Salary,898310
338,Caleb Swanigan,POR,2033160,,,,,,1st Round Pick,2033160
221,Cam Reddish,ATL,4245720,4458000,4670160,5954454,,,1st Round Pick,8703720
225,Cameron Johnson,PHO,4033440,4235160,4437000,5887899,,,1st Round Pick,8268600
492,Cameron Payne,TOR,150000,,,,,,,150000
285,Caris LeVert,BRK,2625718,16203704,17500000,18796296,,,1st Round pick,55125718
331,Carmelo Anthony,POR,2159029,,,,,,Minimum Salary,2159029
436,Carsen Edwards,BOS,1200000,1517981,1782621,1930681,,,,4500602
273,Cedi Osman,CLE,2907143,8750000,8050000,7350000,6650000,,MLE,27057143
316,Chandler Hutchison,CHI,2332320,2443440,4019459,,,,1st Round Pick,4775760
45,Chandler Parsons,ATL,25102511,,,,,,Cap Space,25102511
378,Cheick Diallo,PHO,1678854,1824003,,,,,Minimum Salary,1678854
415,Chimezie Metu,SAS,1416852,1663861,,,,,MLE,1416852
398,Chris Boucher,TOR,1588231,,,,,,,1588231
474,Chris Clemons,HOU,568422,1517981,1782621,,,,MLE,568422
2,Chris Paul,OKC,38506482,41358814,44211146,,,,,124076442
477,Chris Silva,MIA,466918,1517981,1782621,,,,MLE,1984899
385,Christian Wood,DET,1645357,,,,,,Minimum Salary,1645357
26,CJ McCollum,POR,27556959,29354152,30864198,33333333,35802469,,1st Round Pick,156911111
73,Clint Capela,HOU,16456522,17500000,18543478,19586957,,,,72086957
194,Coby White,CHI,5307120,5572680,5837760,7413955,,,1st Round Pick,10879800
437,Cody Martin,CHO,1173310,1517981,1782621,,,,MLE,4473912
87,Cody Zeller,CHO,14471910,15415730,,,,,1st Round Pick,29887640
471,Cole Aldrich,MIN,685340,685340,,,,,,1370680
214,Collin Sexton,CLE,4764960,4991880,6349671,,,,1st Round Pick,9756840
110,Cory Joseph,SAC,12000000,12600000,12600000,,,,,24600000
99,Courtney Lee,DAL,12759670,,,,,,Cap Space,12759670
147,Cristiano Felício,CHI,8156500,7529020,,,,,Cap space,15685520
165,D.J. Augustin,ORL,7250000,,,,,,Cap Space,7250000
272,D.J. Wilson,MIL,2961120,4548280,,,,,1st Round Pick,7509400
29,D'Angelo Russell,GSW,27285000,28649250,30013500,31377750,,,,117325500
478,Dakari Johnson,MEM,459414,459414,,,,,,918828
321,Damian Jones,ATL,2305057,,,,,,1st Round pick,2305057
21,Damian Lillard,POR,29802321,31626953,43750000,47250000,50750000,54250000,1st Round Pick,257429274
464,Damion Lee,GSW,842327,1762796,1910860,,,,MLE,1442327
392,Damyean Dotson,NYK,1618520,,,,,,Minimum Salary,1618520
452,Daniel Gafford,CHI,898310,1517981,1782621,1930681,,,Minimum Salary,2416291
199,Daniel Theis,BOS,5000000,5000000,,,,,,5000000
49,Danilo Gallinari,OKC,22615559,,,,,,Sign and Trade,22615559
86,Danny Green,LAL,14634146,15365854,,,,,,30000000
131,Dante Exum,CLE,9600000,9600000,,,,,Cap Space,18200000
244,Danuel House,HOU,3540000,3717000,3894000,,,,MLE,11151000
251,Dario Šarić,PHO,3481986,,,,,,1st Round pick,3481986
322,Darius Bazley,OKC,2284800,2399160,2513040,4264629,,,1st Round Pick,4683960
178,Darius Garland,CLE,6400920,6720720,7040880,8920795,,,1st Round Pick,13121640
166,Darius Miller,NOP,7250000,7000000,,,,,,7250000
380,David Nwaba,BRK,1678854,,,,,,,1678854
170,Dāvis Bertāns,WAS,7000000,,,,,,Early Bird Rights,7000000
179,De'Aaron Fox,SAC,6392760,8099627,,,,,1st Round Pick,14492387
167,De'Andre Hunter,ATL,7068360,7422000,7775400,9835881,,,1st Round Pick,14490360
425,De'Anthony Melton,MEM,1416852,,,,,,,1416852
132,Deandre Ayton,PHO,9562920,10018200,12632950,,,,1st Round Pick,19581120
125,DeAndre Jordan,BRK,9881598,10375678,9881598,9821842,,,,39960716
287,DeAndre' Bembry,ATL,2603982,,,,,,1st Round pick,2603982
318,Dejounte Murray,SAS,2321735,14285714,15428571,16571429,17714286,,1st Round pick,66321735
133,Delon Wright,DAL,9473684,9000000,8526316,,,,,27000000
25,DeMar DeRozan,SAS,27739975,27739975,,,,,Cap Space,27739975
249,DeMarcus Cousins,LAL,3500000,,,,,,,3500000
169,DeMarre Carroll,SAS,7000000,6650000,7000000,,,,,15000000
499,Demetrius Jackson,BOS,92857,92857,92857,92857,92857,,,464285
80,Dennis Schröder,OKC,15500000,15500000,,,,,1st Round Pick,31000000
218,Dennis Smith,NYK,4463640,5686677,,,,,1st Round Pick,10150317
256,Denzel Valentine,CHI,3377569,,,,,,1st Round pick,3377569
419,Deonte Burton,OKC,1416852,,,,,,,1416852
190,Deron Williams,BRK,5474787,,,,,,,5474787
68,Derrick Favors,NOP,17650000,,,,,,,17650000
384,Derrick Jones,MIA,1645357,,,,,,Minimum Salary,1645357
163,Derrick Rose,DET,7317073,7682927,,,,,MLE,15000000
409,Derrick Walton,LAC,1445697,,,,,,Minimum Salary,1445697
356,Derrick White,SAS,1948080,3516284,,,,,1st Round Pick,5464364
32,Devin Booker,PHO,27250000,29430000,31610000,33790000,35970000,,1st round pick,158050000
431,Devonte' Graham,CHO,1416852,1663861,,,,,MLE,1416852
456,Dewan Hernandez,TOR,898310,1517981,1782621,,,,MLE,898310
93,Dewayne Dedmon,SAC,13333334,13333333,13333333,,,,,40000000
395,Dillon Brooks,MEM,1618520,,,,,,MLE,1618520
107,Dion Waiters,MIA,12100000,12650000,,,,,Cap space,24750000
245,Domantas Sabonis,IND,3529555,17187500,18562500,19937500,21312500,,1st Round pick,80529555
238,Donovan Mitchell,UTA,3635760,5195501,,,,,1st Round Pick,8831261
274,Donte DiVincenzo,MIL,2905800,3044160,4675830,,,,1st Round Pick,5949960
227,Dorian Finney-Smith,DAL,4000000,4000000,4000000,,,,,12000000
161,Doug McDermott,IND,7333334,7333333,,,,,,14666667
379,Dragan Bender,MIL,1678854,1824003,,,,,Minimum Salary,1678854
60,Draymond Green,GSW,18539130,22246956,24026712,25806469,27586225,,Bird Rights,90619267
423,Duncan Robinson,MIA,1416852,1663861,,,,,,1416852
396,Dwayne Bacon,CHO,1618520,,,,,,MLE,1618520
298,Dwight Howard,LAL,2564753,,,,,,Minimum Salary,2564753
121,Dwight Powell,DAL,10259375,10185185,11000000,11814815,,,Cap Space,43259375
337,Dylan Windler,CLE,2035800,2137440,2239200,4037278,,,1st Round Pick,4173240
361,Džanan Musa,BRK,1911600,2002800,3615054,,,,1st Round Pick,3914400
142,E'Twaun Moore,NOP,8664928,,,,,,Cap Space,8664928
204,Ed Davis,UTA,4767000,5005350,,,,,Room Exception,9772350
347,Edmond Sumner,IND,2000000,2160000,2320000,,,,,4160000
152,Elfrid Payton,NYK,8000000,8000000,,,,,,9000000
417,Elie Okobo,PHO,1416852,1663861,1802057,,,,,1416852
371,Emmanuel Mudiay,UTA,1737145,,,,,,Minimum Salary,1737145
213,Enes Kanter,BOS,4767000,5005350,,,,,Room Exception,4767000
78,Eric Bledsoe,MIL,15625000,16875000,18125000,19375000,,,Bird Rights,54525000
88,Eric Gordon,HOU,14057730,16869276,18218818,19568360,20917902,,Cap Space,68714184
446,Eric Paschall,GSW,898310,1517981,1782621,,,,MLE,4198912
171,Ersan İlyasova,MIL,7000000,7000000,,,,,MLE,7000000
